,ind,cycle,start M,0,1,21,22,212,223,50,100
36,36,1,0,0.99907462,0.00065,0,0,0,0,0,0.00027538
5036,36,2,0,0.999074853,0.00065,0,0,0,0,0,0.000275147
10036,36,3,0,0.999075086,0.00065,0,0,0,0,0,0.000274914
15036,36,4,0,0.999075319,0.00065,0,0,0,0,0,0.000274681
20036,36,5,0,0.999075551,0.00065,0,0,0,0,0,0.000274449
25036,36,6,0,0.999075783,0.00065,0,0,0,0,0,0.000274217
30036,36,7,0,0.999076015,0.00065,0,0,0,0,0,0.000273985
35036,36,8,0,0.999076247,0.00065,0,0,0,0,0,0.000273753
40036,36,9,0,0.999076479,0.00065,0,0,0,0,0,0.000273521
45036,36,10,0,0.99907671,0.00065,0,0,0,0,0,0.00027329
37,37,1,0,0.99907462,0.00065,0,0,0,0,0,0.00027538
5037,37,2,0,0.999074853,0.00065,0,0,0,0,0,0.000275147
10037,37,3,0,0.999075086,0.00065,0,0,0,0,0,0.000274914
15037,37,4,0,0.999075319,0.00065,0,0,0,0,0,0.000274681
20037,37,5,0,0.999075551,0.00065,0,0,0,0,0,0.000274449
25037,37,6,0,0.999075783,0.00065,0,0,0,0,0,0.000274217
30037,37,7,0,0.999076015,0.00065,0,0,0,0,0,0.000273985
35037,37,8,0,0.999076247,0.00065,0,0,0,0,0,0.000273753
40037,37,9,0,0.999076479,0.00065,0,0,0,0,0,0.000273521
45037,37,10,0,0.99907671,0.00065,0,0,0,0,0,0.00027329
38,38,1,0,0.99907462,0.00065,0,0,0,0,0,0.00027538
5038,38,2,0,0.999074853,0.00065,0,0,0,0,0,0.000275147
10038,38,3,0,0.999075086,0.00065,0,0,0,0,0,0.000274914
15038,38,4,0,0.999075319,0.00065,0,0,0,0,0,0.000274681
20038,38,5,0,0.999075551,0.00065,0,0,0,0,0,0.000274449
25038,38,6,0,0.999075783,0.00065,0,0,0,0,0,0.000274217
30038,38,7,0,0.999076015,0.00065,0,0,0,0,0,0.000273985
35038,38,8,0,0.999076247,0.00065,0,0,0,0,0,0.000273753
40038,38,9,0,0.999076479,0.00065,0,0,0,0,0,0.000273521
45038,38,10,0,0.99907671,0.00065,0,0,0,0,0,0.00027329
39,39,1,0,0.99907462,0.00065,0,0,0,0,0,0.00027538
5039,39,2,0,0.999074853,0.00065,0,0,0,0,0,0.000275147
10039,39,3,0,0.999075086,0.00065,0,0,0,0,0,0.000274914
